TotalPremium,PolicyAge,PremiumPerClaim,IsHighRiskProvince,Province_encoded,Gender_encoded,VehicleType_encoded,make_encoded
21.929824561403,0.16712328767123288,0.016108247304359145,0,5,2,4,24
74.561403508771,0.6657534246575343,0.012142857123081486,0,6,2,4,24
21.929824561403,0.4191780821917808,0.015624999888671562,0,4,2,4,24
420.249736842105,0.4958904109589041,0.026068068599833058,0,2,1,4,24
21.929824561403,0.4191780821917808,0.02921448064476865,0,4,2,4,24
840.117543859649,0.0,0.019154679995632737,0,0,2,4,24
337.345877192982,0.25205479452054796,0.014747620097419374,0,2,2,4,24
74.561403508771,0.8328767123287671,0.012142857123081486,0,2,2,4,24
739.310701754386,0.6657534246575343,0.0374167515532018,1,3,2,4,24
0.0,0.5808219178082191,0.0,0,2,2,4,24
774.121315789474,0.16712328767123288,0.21931744241813303,0,0,2,4,24
74.561403508771,0.5808219178082191,0.012142857123081486,0,2,2,4,24
21.929824561403,0.08493150684931507,0.02921448064476865,0,8,2,4,24
595.240964912281,0.5808219178082191,0.016084470554831518,1,3,2,4,24
311.164561403509,0.25205479452054796,0.02697396493980536,0,6,2,4,24
519.132105263158,0.16712328767123288,0.09892197353530069,0,2,2,4,24
501.827719298246,0.7479452054794521,0.018788706215026655,0,2,2,4,24
21.929824561403,0.4191780821917808,0.020166982430602123,0,8,2,5,26
74.561403508771,0.4958904109589041,0.012142857123081486,0,2,2,4,24
74.561403508771,0.4958904109589041,0.02428571420661195,0,4,2,4,24
162.086052631579,0.4191780821917808,0.00841085620210828,0,8,2,4,24
718.879649122807,0.4191780821917808,0.011724598207500297,1,3,2,4,24
709.890350877193,0.6657534246575343,0.015572264231031509,1,3,2,4,24
21.929824561403,0.5808219178082191,0.05555555414814692,0,6,2,4,24
327.025350877193,0.5808219178082191,0.01821334211697536,1,3,2,4,24
65282.6034210526,0.5808219178082191,43.29387283679455,0,8,2,5,26
74.561403508771,0.4191780821917808,0.012142857123081486,1,3,2,4,24
577.113070175439,0.33424657534246577,0.01710667148055562,0,8,2,4,24
21.929824561403,0.08493150684931507,0.021367521159324596,0,2,1,4,24
15.78947368421,0.7479452054794521,0.00848896430070987,1,3,2,4,24
382.045175438596,0.16712328767123288,0.018523008539481894,0,2,2,4,24
786.299385964912,0.16712328767123288,0.017927625995912497,1,3,2,4,24
535.762280701754,0.08493150684931507,0.012215379997214887,0,2,2,4,24
15.78947368421,0.7479452054794521,0.020454545189565427,0,6,2,4,24
585.203421052632,0.6657534246575343,0.014499497830497794,0,2,2,4,24
21.929824561403,0.4958904109589041,0.01131221713621726,0,2,2,4,27
696.48649122807,0.4191780821917808,0.00902025196549297,0,2,1,4,24
15.78947368421,0.6657534246575343,0.014999999857499481,0,6,2,1,11
74.561403508771,0.4958904109589041,0.012142857123081486,0,6,2,4,24
839.055877192982,0.16712328767123288,0.012673658269870805,0,2,2,4,27
957.104298245614,0.0,0.01611081612294519,1,3,2,4,24
74.561403508771,0.25205479452054796,0.012142857123081486,0,2,2,4,24
582.364561403509,0.6657534246575343,0.00677423752255315,0,8,2,4,24
911.784736842105,0.08493150684931507,0.020381070583679526,0,6,2,4,24
74.561403508771,0.5808219178082191,0.02124999993943724,1,3,2,4,24
0.0,0.5808219178082191,0.0,0,5,2,4,25
0.0,0.6657534246575343,0.0,0,2,2,4,24
21.929824561403,0.6657534246575343,0.019069412496268586,0,2,1,4,24
500.889035087719,0.16712328767123288,0.03492437306433404,1,3,2,4,24
15.78947368421,0.7479452054794521,0.020454545189565427,0,6,2,4,24
505.648157894737,0.16712328767123288,0.022204289551008685,0,2,2,4,24
460.139824561404,0.915068493150685,0.06322597977470533,1,1,2,4,24
434.870614035088,0.6657534246575343,0.019854719843552256,1,3,2,4,24
1048.19385964912,0.8328767123287671,0.048232757328416746,0,2,2,4,0
337.098684210526,0.6657534246575343,0.015088637159998032,0,2,2,4,24
21.929824561403,0.25205479452054796,0.035714285132652256,0,8,2,4,24
21.929824561403,0.16712328767123288,0.01686909568670157,0,2,2,4,24
552.577543859649,0.16712328767123288,0.008862012012703082,1,3,2,4,3
633.246754385965,0.08493150684931507,0.014438025996708136,0,8,2,4,24
512.125614035088,0.5808219178082191,0.025360946897507442,1,3,2,4,24
534.678333333333,0.5808219178082191,0.6290333259329408,1,3,1,4,24
21.929824561403,0.08493150684931507,0.021739130219281193,0,2,2,4,24
957.562719298246,0.08493150684931507,0.026861274184913946,1,3,2,4,24
0.0,0.4958904109589041,0.0,0,2,2,4,24
603.721403508772,0.6657534246575343,0.0285971236636797,0,2,2,4,24
300.467280701754,0.4958904109589041,0.010881363477051634,0,4,2,4,24
990.832368421053,0.08493150684931507,0.017915870899584588,1,3,2,4,24
313.277105263158,0.08493150684931507,0.007142717998371464,0,2,2,4,24
21.929824561403,0.16712328767123288,0.027412280359100243,0,6,2,4,24
74.561403508771,0.5808219178082191,0.012142857123081486,0,2,2,4,24
521.114912280702,0.16712328767123288,0.017439336556618,1,3,2,4,24
21.929824561403,0.08493150684931507,0.026881720100589063,0,6,2,4,24
531.660701754386,0.4191780821917808,0.030056110973175263,0,0,2,4,24
770.118684210526,0.4191780821917808,0.01353149494651955,1,3,2,4,24
74.561403508771,0.4958904109589041,0.012142857123081486,0,2,1,4,24
595.990614035088,0.915068493150685,0.03388110407611674,0,8,2,4,24
21.929824561403,0.16712328767123288,0.008599931166824974,0,2,2,3,27
500.164649122807,0.16712328767123288,0.02026298740053537,0,6,2,4,24
74.561403508771,0.4191780821917808,0.02428571420661195,1,3,2,4,24
205.957906055461,1.084931506849315,0.24230341603814923,0,6,2,4,12
753.415701754386,0.5808219178082191,0.03150229106214247,0,2,1,4,24
638.375175438596,0.33424657534246577,0.004052651840181509,1,1,2,4,24
684.973684210526,0.25205479452054796,0.02496387467120878,0,2,2,4,12
745.952631578947,0.4958904109589041,0.004760817068782774,0,8,2,4,24
524.566315789474,0.33424657534246577,0.006536898322927653,0,6,2,4,24
430.812192982456,0.08493150684931507,0.009822517997760466,0,6,2,3,16
358.448333333333,0.33424657534246577,0.004677071958551441,0,2,2,4,5
742.358859649123,0.25205479452054796,0.04504261883311921,0,2,2,4,20
21.929824561403,0.5808219178082191,0.009954805139273545,0,5,2,3,16
437.688859649123,0.33424657534246577,0.011650380680298451,0,6,2,1,11
331.705175438596,0.25205479452054796,0.00780784765688503,0,2,2,4,24
657.342543859649,0.6657534246575343,0.09270684826037198,0,2,2,4,5
627.003684210526,0.4958904109589041,0.00554874824316864,0,2,2,4,24
696.48649122807,0.8328767123287671,0.04235735766802091,0,2,2,4,24
74.561403508771,0.6657534246575343,0.012142857123081486,0,6,2,4,24
21.929824561403,0.33424657534246577,0.02921448064476865,1,3,2,4,24
666.64649122807,0.4191780821917808,0.016309082777625508,0,2,2,4,24
0.0,0.6657534246575343,0.0,1,3,2,4,24
74.561403508771,0.6657534246575343,0.012142857123081486,0,2,2,4,24
591.310877192982,0.4191780821917808,0.01721780357144595,1,3,2,4,24
15.78947368421,1.084931506849315,0.021034426064233218,0,2,2,4,24
567.30052631579,0.0,0.01293445199705096,0,8,2,3,16
21.929824561403,0.7479452054794521,0.02840909054106338,0,6,2,4,24
942.290175438596,0.33424657534246577,0.03584406552075063,1,3,2,4,24
606.777807017544,0.7479452054794521,0.7138562351517431,0,2,2,4,24
74.561403508771,0.5808219178082191,0.02124999993943724,0,6,2,4,24
21.929824561403,0.16712328767123288,0.005414771483272909,0,4,2,4,24
21.929824561403,0.25205479452054796,0.061728393324186975,0,6,2,4,24
701.08298245614,0.4191780821917808,0.003607317844017137,0,8,2,4,24
643.723771929825,0.25205479452054796,0.02516471449382431,0,2,2,4,24
651.679298245614,0.4958904109589041,0.05486390996367715,0,2,2,3,16
407.125438596491,0.25205479452054796,0.006293714637622877,0,6,2,4,24
74.561403508771,0.4191780821917808,0.012142857123081486,0,8,2,4,24
368.561228070175,0.4958904109589041,0.01382751859973816,0,2,2,4,24
21.929824561403,0.16712328767123288,0.01686909568670157,0,2,2,4,24
15.78947368421,0.08493150684931507,0.023999999635199217,0,4,2,4,24
15.78947368421,1.0,0.007161157847181752,0,6,2,4,0
723.374298245614,0.6657534246575343,0.01719697828715522,1,3,2,4,24
74.561403508771,0.4191780821917808,0.012142857123081486,0,2,2,4,24
21.929824561403,0.4958904109589041,0.08333333016666489,0,2,2,4,24
890.284584040746,0.25205479452054796,0.026373072036999807,1,3,2,4,24
629.251052631579,0.6657534246575343,0.10802739571328956,0,2,2,4,9
197.725350877193,0.16712328767123288,0.007513563330478183,0,2,2,4,24
652.690614035088,0.25205479452054796,0.009288484081666241,1,3,2,4,24
546.909035087719,0.25205479452054796,0.012407361147466737,0,6,2,4,24
889.940701754386,0.33424657534246577,0.021115886397854722,1,3,2,4,24
346.08798245614,0.16712328767123288,0.013604837925686345,0,2,2,4,24
614.180438596491,0.4958904109589041,0.05078389598880866,0,2,2,4,24
15.78947368421,0.8328767123287671,0.005857735117519571,0,2,2,4,24
760.84,0.25205479452054796,0.014852387548636622,0,2,2,4,24
21.929824561403,0.16712328767123288,0.02499999971499943,0,2,1,4,24
21.929824561403,0.4958904109589041,0.005240881377943719,0,5,2,4,24
21.929824561403,0.08493150684931507,0.026881720100589063,0,6,2,4,24
74.561403508771,0.25205479452054796,0.012142857123081486,0,6,2,4,24
249.183333333333,0.915068493150685,0.004482875943012105,0,6,2,4,24
15.78947368421,0.8328767123287671,0.021034426064233218,0,5,2,4,24
0.0,1.0,0.0,0,6,2,4,12
15.78947368421,0.25205479452054796,0.012297097789126965,0,5,2,4,24
15.78947368421,1.0,0.011464968069617049,0,2,2,3,16
357.549385964912,0.33424657534246577,0.010715385512051187,0,5,2,4,24
21.929824561403,0.33424657534246577,0.017630589636746907,0,0,2,4,24
543.627894736842,0.33424657534246577,0.028492696078845532,0,2,2,4,24
518.266842105263,0.08493150684931507,0.6219202030632727,0,6,2,4,24
0.0,0.5808219178082191,0.0,0,6,2,4,24
585.360789473684,0.8328767123287671,0.006180645357828953,0,6,2,4,24
458.791403508772,0.6657534246575343,0.01024375177021795,0,8,2,4,24
21.929824561403,0.33424657534246577,0.01686909568670157,0,2,2,4,24
74.561403508771,0.4958904109589041,0.012142857123081486,0,2,2,4,24
535.402719298246,0.6657534246575343,0.01576984151126297,0,2,2,4,24
74.561403508771,0.6657534246575343,0.02124999993943724,0,2,2,4,24
444.071403508772,0.5808219178082191,0.03465118918775395,0,6,2,4,24
21.929824561403,0.4191780821917808,0.019230769062129772,0,6,2,3,16
21.929824561403,0.08493150684931507,0.02921448064476865,0,8,2,4,24
0.0,0.4958904109589041,0.0,1,3,2,4,24
74.561403508771,0.7479452054794521,0.018888888841036806,0,2,2,4,24
380.135,0.25205479452054796,2.733921322524108,0,2,2,4,24
0.0,0.33424657534246577,0.0,0,2,2,4,24
21.929824561403,0.5808219178082191,0.02921448064476865,0,6,2,4,24
15.78947368421,0.8328767123287671,0.008742192687805827,0,6,2,3,11
21.929824561403,0.25205479452054796,0.011246063819970441,0,2,2,4,24
0.0,0.5808219178082191,0.0,0,2,2,3,27
21.929824561403,0.4958904109589041,0.021739130219281193,0,8,2,4,24
230.126052631579,0.4191780821917808,0.013007273531246817,0,2,2,4,24
663.410350877193,0.4191780821917808,0.006071236021247562,0,2,2,4,24
1008.15535087719,0.0,0.008144547263276021,1,3,2,4,24
245.372456140351,0.25205479452054796,0.018648306652493972,0,8,2,4,24
74.561403508771,0.4191780821917808,0.012142857123081486,1,3,2,4,24
1213.81412280702,0.6657534246575343,0.1150637080615196,0,2,2,4,16
602.732543859649,0.33424657534246577,0.053640929791217436,0,8,2,4,24
500.779298245614,0.33424657534246577,0.01606281647801267,0,0,2,4,24
899.815701754386,0.4191780821917808,0.004562505077373531,1,3,2,4,24
16.27051499717,0.5808219178082191,0.021675259833215495,0,6,2,4,24
731.976228070176,0.6657534246575343,0.005052571507110022,0,5,2,4,24
